                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2988,                 1.4358,                 1.4321,                0.79245,                0.68895,                0.77878,                0.51188,                 1.2207,                 1.0648,                 1.3506,               0.008878,               0.008878,               0.008878
                     36,                 1.3038,                 1.4415,                 1.4336,                0.79195,                0.68809,                0.77886,                 0.5121,                 1.2207,                 1.0646,                 1.3507,               0.008845,               0.008845,               0.008845
                     37,                 1.2987,                 1.4352,                 1.4282,                 0.7921,                0.68877,                0.77957,                0.51284,                 1.2195,                 1.0633,                 1.3498,               0.008812,               0.008812,               0.008812
                     38,                 1.2957,                 1.4307,                 1.4227,                 0.7905,                0.68976,                0.78045,                0.51378,                 1.2187,                 1.0596,                 1.3484,               0.008779,               0.008779,               0.008779
                     39,                 1.3002,                 1.4372,                 1.4247,                0.79118,                0.69216,                0.78216,                0.51518,                 1.2172,                 1.0544,                 1.3464,               0.008746,               0.008746,               0.008746
                     40,                 1.2976,                 1.4315,                 1.4234,                0.79412,                0.69198,                0.78298,                0.51641,                 1.2157,                 1.0511,                 1.3456,               0.008713,               0.008713,               0.008713
                     41,                  1.298,                 1.4245,                  1.421,                0.79509,                0.69455,                0.78453,                0.51758,                 1.2137,                 1.0466,                  1.344,                0.00868,                0.00868,                0.00868
                     42,                 1.2957,                 1.4281,                 1.4224,                0.79756,                0.69367,                0.78501,                0.51874,                 1.2118,                 1.0439,                  1.343,               0.008647,               0.008647,               0.008647
                     43,                  1.293,                 1.4223,                 1.4193,                0.79783,                0.69466,                0.78595,                0.51972,                 1.2104,                  1.039,                 1.3415,               0.008614,               0.008614,               0.008614
                     44,                 1.2952,                 1.4243,                 1.4183,                0.79969,                0.69386,                0.78665,                0.52026,                 1.2103,                 1.0353,                 1.3409,               0.008581,               0.008581,               0.008581
                     45,                 1.2955,                 1.4252,                 1.4208,                0.79904,                0.69458,                 0.7874,                 0.5213,                  1.209,                  1.031,                 1.3393,               0.008548,               0.008548,               0.008548
                     46,                 1.2938,                 1.4248,                 1.4204,                0.79884,                0.69593,                0.78873,                0.52246,                 1.2073,                 1.0257,                 1.3376,               0.008515,               0.008515,               0.008515
                     47,                  1.292,                 1.4205,                 1.4211,                0.79797,                 0.6977,                0.78946,                0.52302,                 1.2069,                 1.0226,                  1.337,               0.008482,               0.008482,               0.008482
                     48,                 1.2904,                 1.4193,                  1.418,                0.79673,                0.70062,                0.79077,                0.52427,                 1.2058,                 1.0174,                 1.3354,               0.008449,               0.008449,               0.008449
                     49,                 1.2895,                 1.4133,                 1.4127,                0.79936,                 0.7016,                 0.7916,                0.52527,                 1.2047,                 1.0131,                 1.3339,               0.008416,               0.008416,               0.008416
                     50,                 1.2873,                 1.4096,                 1.4127,                0.79745,                0.70436,                0.79238,                0.52629,                 1.2032,                 1.0098,                 1.3322,               0.008383,               0.008383,               0.008383
                     51,                 1.2921,                   1.41,                 1.4162,                0.79788,                0.70483,                0.79252,                0.52683,                 1.2026,                 1.0076,                 1.3312,                0.00835,                0.00835,                0.00835
                     52,                 1.2919,                 1.4119,                 1.4186,                0.80186,                0.70458,                  0.794,                0.52762,                 1.2019,                 1.0038,                 1.3299,               0.008317,               0.008317,               0.008317
                     53,                 1.2879,                 1.4106,                 1.4156,                0.80358,                0.70612,                 0.7951,                0.52849,                 1.2003,                 1.0012,                 1.3283,               0.008284,               0.008284,               0.008284
                     54,                 1.2858,                 1.4035,                 1.4123,                0.80266,                0.70791,                0.79576,                0.52908,                 1.1988,                0.99814,                 1.3267,               0.008251,               0.008251,               0.008251
                     55,                 1.2867,                 1.4049,                 1.4144,                0.80468,                 0.7071,                0.79648,                0.52991,                 1.1968,                0.99526,                 1.3251,               0.008218,               0.008218,               0.008218
                     56,                 1.2867,                  1.403,                 1.4167,                0.80691,                0.70823,                0.79825,                0.53091,                 1.1949,                0.99117,                 1.3234,               0.008185,               0.008185,               0.008185
                     57,                 1.2835,                 1.3976,                 1.4125,                0.80436,                0.71146,                0.79878,                0.53145,                 1.1936,                0.98802,                  1.322,               0.008152,               0.008152,               0.008152
                     58,                 1.2862,                 1.3991,                 1.4126,                0.80682,                0.71206,                0.79997,                0.53241,                 1.1919,                0.98365,                 1.3205,               0.008119,               0.008119,               0.008119
                     59,                 1.2835,                 1.4042,                 1.4122,                 0.8053,                0.71494,                0.80062,                0.53336,                 1.1907,                0.97951,                 1.3193,               0.008086,               0.008086,               0.008086
                     60,                 1.2845,                 1.3968,                 1.4151,                0.80492,                0.71673,                0.80143,                0.53399,                 1.1896,                0.97718,                  1.318,               0.008053,               0.008053,               0.008053
                     61,                 1.2853,                 1.3985,                 1.4144,                0.80692,                0.71692,                0.80197,                0.53479,                 1.1885,                0.97434,                 1.3169,                0.00802,                0.00802,                0.00802
                     62,                  1.283,                 1.3968,                 1.4139,                0.80793,                0.71805,                0.80268,                0.53528,                 1.1874,                0.97145,                  1.316,               0.007987,               0.007987,               0.007987
                     63,                 1.2843,                 1.3987,                  1.416,                 0.8095,                0.71945,                0.80401,                0.53667,                 1.1861,                0.96749,                 1.3149,               0.007954,               0.007954,               0.007954
                     64,                 1.2819,                 1.3951,                 1.4099,                0.81033,                0.71935,                0.80442,                0.53687,                  1.185,                0.96495,                 1.3139,               0.007921,               0.007921,               0.007921
                     65,                 1.2851,                 1.3954,                 1.4144,                0.81145,                 0.7198,                0.80533,                 0.5377,                 1.1849,                 0.9619,                 1.3133,               0.007888,               0.007888,               0.007888
                     66,                 1.2813,                 1.3894,                 1.4083,                0.81129,                0.72127,                0.80593,                0.53848,                 1.1841,                0.95972,                  1.312,               0.007855,               0.007855,               0.007855
                     67,                   1.28,                 1.3921,                 1.4116,                0.81211,                 0.7211,                0.80641,                0.53897,                 1.1837,                0.95775,                 1.3116,               0.007822,               0.007822,               0.007822
                     68,                 1.2794,                 1.3877,                  1.408,                0.81334,                0.72051,                0.80669,                0.53905,                 1.1834,                0.95616,                 1.3107,               0.007789,               0.007789,               0.007789
                     69,                  1.278,                  1.383,                 1.4082,                0.81458,                0.71971,                0.80679,                0.53936,                 1.1827,                0.95558,                 1.3103,               0.007756,               0.007756,               0.007756
                     70,                 1.2783,                  1.383,                 1.4064,                0.81406,                0.72104,                0.80724,                0.53944,                 1.1819,                0.95438,                 1.3091,               0.007723,               0.007723,               0.007723
                     71,                 1.2799,                 1.3838,                 1.4102,                0.81371,                0.72159,                 0.8075,                0.53976,                  1.181,                0.95229,                 1.3084,                0.00769,                0.00769,                0.00769
                     72,                 1.2801,                 1.3851,                 1.4109,                0.81345,                0.72264,                0.80779,                0.54075,                 1.1802,                0.94974,                 1.3078,               0.007657,               0.007657,               0.007657
                     73,                 1.2825,                 1.3828,                 1.4097,                0.81544,                0.72282,                0.80867,                0.54151,                 1.1793,                0.94747,                 1.3072,               0.007624,               0.007624,               0.007624
